,count,mean,std,min,25%,50%,75%,max
total_data_centers,217.0,53.414746543778804,374.7193435735595,0.0,1.0,3.0,15.0,5426.0
log_total_data_centers,217.0,1.839251797321685,1.634143435883828,0.0,0.6931471805599453,1.3862943611198906,2.772588722239781,8.599141774063405
avg_mean_temp_c_2021_2023,213.0,20.02073552425665,8.22055425729452,-17.113333333333333,13.17,23.69666666666667,26.450000000000003,29.433333333333334
max_daily_max_temp_c_2021_2023,213.0,33.75082942097026,5.889811032142751,3.753333333333333,29.55,33.55666666666667,37.266666666666666,49.54666666666666
cooling_degree_days_65f_2021_2023,213.0,3376.8724882629112,2247.769815253393,0.0,1050.03,3891.683333333333,5334.4,7334.18
days_heat_index_gt35c_2021_2023,213.0,8.400359937402191,21.29293650475716,0.0,0.0,0.3133333333333333,4.046666666666667,145.50666666666666
water_stress_pct_latest,178.0,68.5154746618927,322.5702310554568,0.027446301,3.7781775730000002,11.09802646,40.06480422,3850.5
freshwater_m3_per_capita_latest,183.0,14124.28040134951,43025.199377665056,0.0,806.4656178868611,2488.72708535984,9705.449339686096,445022.683067934
worldrisk_exposure_2025,193.0,5.324559585492227,10.06353855602325,0.02,0.25,1.05,5.25,64.59
worldrisk_index_2025,193.0,8.322435233160622,9.378052546215844,0.18,2.32,4.17,11.01,46.56
political_stability_score_0_100_avg_3y,206.0,65.85954692556635,16.73461236033368,20.40333333333333,55.877500000000005,67.1,79.95583333333333,92.98
electricity_business_usd_kwh,120.0,0.15614999999999998,0.08585513008169365,0.013,0.094,0.1485,0.2125,0.419
renewable_share_pct,194.0,38.61829896907217,32.17708992038204,0.0,10.81,30.765,63.442499999999995,100.0
internet_penetration_pct_clean,190.0,67.09105263157895,29.118211431702708,1.3,41.75,78.7,91.15,100.0
