country,iso3,region,cluster,score_equal_balanced
Dominica,DMA,Latin America & Caribbean ,0,0.6680371731186526
Botswana,BWA,Sub-Saharan Africa ,0,0.6269936205316076
Cabo Verde,CPV,Sub-Saharan Africa ,0,0.6204501937793747
Mauritius,MUS,Sub-Saharan Africa ,0,0.614680166496115
Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",0,0.6126264305084403
Sao Tome and Principe,STP,Sub-Saharan Africa ,0,0.6100057888600313
Sri Lanka,LKA,South Asia,0,0.608455689310205
Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",0,0.6050522503350207
Suriname,SUR,Latin America & Caribbean ,0,0.5995446565311484
Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5984906467945249
Bolivia,BOL,Latin America & Caribbean ,0,0.5894446977132246
Brunei Darussalam,BRN,East Asia & Pacific,0,0.5884675626124317
Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5840782321079558
Australia,AUS,East Asia & Pacific,0,0.5803606427782992
Cambodia,KHM,East Asia & Pacific,0,0.5698158934057055
St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,0,0.5685501442414325
Samoa,WSM,East Asia & Pacific,0,0.5658359033607573
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5649588278435568
Marshall Islands,MHL,East Asia & Pacific,0,0.5631457132489472
Antigua and Barbuda,ATG,Latin America & Caribbean ,0,0.5620911131728609
Ghana,GHA,Sub-Saharan Africa ,0,0.5577513475880435
Malaysia,MYS,East Asia & Pacific,0,0.5554970933427219
Singapore,SGP,East Asia & Pacific,0,0.5530749957163552
Grenada,GRD,Latin America & Caribbean ,0,0.5503926135316232
St. Kitts and Nevis,KNA,Latin America & Caribbean ,0,0.549240694485935
St. Lucia,LCA,Latin America & Caribbean ,0,0.5460830798504575
Dominican Republic,DOM,Latin America & Caribbean ,0,0.5447018327609631
Trinidad and Tobago,TTO,Latin America & Caribbean ,0,0.5372950045904179
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5330179588160098
Maldives,MDV,South Asia,0,0.5318635582315167
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",0,0.530912810559844
Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5276947606302379
Barbados,BRB,Latin America & Caribbean ,0,0.5260311296716929
Palau,PLW,East Asia & Pacific,0,0.525770219414413
Gabon,GAB,Sub-Saharan Africa ,0,0.524209418985989
Equatorial Guinea,GNQ,Sub-Saharan Africa ,0,0.5232411683452819
Comoros,COM,Sub-Saharan Africa ,0,0.5195469296590448
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",0,0.519359898135387
Seychelles,SYC,Sub-Saharan Africa ,0,0.5153291351676258
Cuba,CUB,Latin America & Caribbean ,0,0.514166492834463
Turkmenistan,TKM,Europe & Central Asia,0,0.505206626200886
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,0,0.4976332988704054
Jamaica,JAM,Latin America & Caribbean ,0,0.4940035778245824
Tonga,TON,East Asia & Pacific,0,0.493646169874677
Kiribati,KIR,East Asia & Pacific,0,0.4923183222371524
Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4913521664394512
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4886752509783302
"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4830997062597563
"Congo, Rep.",COG,Sub-Saharan Africa ,0,0.4818311101119636
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4785738331384219
Central African Republic,CAF,Sub-Saharan Africa ,0,0.47465784376545
Nigeria,NGA,Sub-Saharan Africa ,0,0.4738263887490967
Cote d'Ivoire,CIV,Sub-Saharan Africa ,0,0.47268801550655
Senegal,SEN,Sub-Saharan Africa ,0,0.4707440097528206
Guyana,GUY,Latin America & Caribbean ,0,0.4700951552717148
Vanuatu,VUT,East Asia & Pacific,0,0.4615396102573109
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4610775236480966
Bangladesh,BGD,South Asia,0,0.4543891897840409
Thailand,THA,East Asia & Pacific,0,0.4543250954593794
"Bahamas, The",BHS,Latin America & Caribbean ,0,0.4512367774969483
Nauru,NRU,East Asia & Pacific,0,0.44772035524263
Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4454098512316075
Philippines,PHL,East Asia & Pacific,0,0.4445964714733965
Haiti,HTI,Latin America & Caribbean ,0,0.4401369847603517
"Gambia, The",GMB,Sub-Saharan Africa ,0,0.4296960896188558
Mauritania,MRT,Sub-Saharan Africa ,0,0.4291804430431178
Benin,BEN,Sub-Saharan Africa ,0,0.4262685663962084
Timor-Leste,TLS,East Asia & Pacific,0,0.4262363363363842
Eritrea,ERI,Sub-Saharan Africa ,0,0.4242739172656058
Tuvalu,TUV,East Asia & Pacific,0,0.4227856551426622
Puerto Rico (US),PRI,Latin America & Caribbean ,0,0.4206730664352023
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",0,0.4203012144334708
Guinea-Bissau,GNB,Sub-Saharan Africa ,0,0.4157804290810675
Burkina Faso,BFA,Sub-Saharan Africa ,0,0.3968199602253512
Mali,MLI,Sub-Saharan Africa ,0,0.3960028974888815
Bermuda,BMU,North America,0,0.3745745472935197
Chad,TCD,Sub-Saharan Africa ,0,0.3530016296287009
Niger,NER,Sub-Saharan Africa ,0,0.3365075626793677
South Sudan,SSD,Sub-Saharan Africa ,0,0.323292365705267
Aruba,ABW,Latin America & Caribbean ,0,0.3186617345050622
Solomon Islands,SLB,East Asia & Pacific,0,0.305110246253013
Cayman Islands,CYM,Latin America & Caribbean ,0,0.2674813635772969
American Samoa,ASM,East Asia & Pacific,0,
Channel Islands,CHI,Europe & Central Asia,0,
Curacao,CUW,Latin America & Caribbean ,0,
