country,iso3,region,renewable_share_pct,total_data_centers
Albania,ALB,Europe & Central Asia,100.0,3
Bhutan,BTN,South Asia,100.0,3
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,100.0,2
Ethiopia,ETH,Sub-Saharan Africa ,100.0,2
Iceland,ISL,Europe & Central Asia,100.0,3
Namibia,NAM,Sub-Saharan Africa ,97.57,2
Eswatini,SWZ,Sub-Saharan Africa ,96.73,2
Malawi,MWI,Sub-Saharan Africa ,95.63,1
Sierra Leone,SLE,Sub-Saharan Africa ,95.23,1
Tajikistan,TJK,Europe & Central Asia,94.59,1
El Salvador,SLV,Latin America & Caribbean ,90.81,3
Kyrgyz Republic,KGZ,Europe & Central Asia,88.78,1
Zambia,ZMB,Sub-Saharan Africa ,87.48,2
Belize,BLZ,Latin America & Caribbean ,87.23,1
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",86.87,2
Greenland,GRL,Europe & Central Asia,83.33,0
Sudan,SDN,Sub-Saharan Africa ,79.68,3
Lao PDR,LAO,East Asia & Pacific,76.72,3
Burundi,BDI,Sub-Saharan Africa ,75.51,2
Guinea,GIN,Sub-Saharan Africa ,75.18,1
Angola,AGO,Sub-Saharan Africa ,73.7,4
Cameroon,CMR,Sub-Saharan Africa ,73.14,2
Fiji,FJI,East Asia & Pacific,63.47,2
